ID,Sex,Status,Children,Est_Income,Car_Owner,Usage,Age,RatePlan,LongDistance,International,Local,Dropped,Paymethod,LocalBilltype,LongDistanceBilltype,CHURN
1,1,0,1,38000,0,229.64,24.393333,3,23.56,0,206.08,0,1,1,1,Cancelled
6,0,1,2,29616,0,75.29,49.426667,2,29.78,0,45.5,0,2,0,0,Current
8,0,1,0,19732.8,0,47.25,50.673333,3,24.81,0,22.44,0,1,0,0,Current
11,0,0,2,96.33,0,59.01,56.473333,1,26.13,0,32.88,1,1,1,0,Current
14,1,1,2,52004.8,0,28.14,25.14,1,5.03,0,23.11,0,2,1,1,Cancelled
17,0,1,2,53010.8,0,58.87,18.84,1,12.45,0,46.42,4,1,0,0,Current
18,0,1,1,75004.5,0,58.72,64.8,1,26.52,0,32.19,0,1,1,1,Current
21,0,1,0,19749.3,0,34.17,60.366667,3,20.22,0,13.94,0,1,1,0,Current
22,0,0,1,57626.9,1,48.35,43.906667,2,9.38,0,38.96,0,1,1,0,Current
23,0,1,2,20078,0,15.98,32.846667,4,9.65,0,6.33,0,1,1,1,Current
24,1,1,2,47902,0,72.31,26.033333,2,17.44,4.94,49.92,1,3,0,0,Current
29,0,1,1,7545.96,1,200.75,16.753333,3,22.39,0,178.36,0,1,1,0,Cancelled
35,1,0,0,78851.3,0,29.04,48.373333,4,0.37,0,28.66,0,1,0,0,Current
36,1,0,1,17540.7,1,36.2,62.786667,4,22.17,0.57,13.45,0,3,1,0,Cancelled
37,1,1,0,83891.9,1,74.4,61.02,4,28.92,0,45.47,0,2,1,0,Cancelled
38,1,1,2,28220.8,0,38.95,38.766667,4,26.49,0,12.46,0,1,0,0,Cancelled
40,1,0,0,28589.1,0,100.28,15.6,4,13.19,0,87.09,0,1,0,0,Cancelled
42,1,1,2,5237.63,0,78.02,48.753333,2,13.32,8.05,56.64,0,1,1,0,Current
45,0,0,2,89459.9,0,36.05,53.28,2,11.54,1.61,22.9,0,1,0,0,Cancelled
48,1,0,1,13576.5,0,40.49,39.426667,1,14.83,0,25.66,0,1,1,0,Cancelled
52,1,1,2,67388,0,96.33,53.12,3,4.79,0.5,91.04,1,1,1,0,Current
53,1,1,1,57063,1,98.1,52.333333,4,16.79,0,81.3,0,2,1,0,Current
54,1,1,2,84166.1,0,15.02,54.013333,2,3.28,0,11.74,1,1,1,0,Cancelled
60,1,0,1,7737.94,0,61.9,42.666667,4,11.05,0,50.84,0,1,0,0,Cancelled
61,0,0,2,100020,0,314.62,50,4,21.37,0,293.24,0,2,1,0,Current
62,1,1,2,45287.6,1,2.97,29.026667,3,0,0,2.97,0,1,1,0,Current
63,1,1,2,59613.1,0,175.78,34.32,1,12.37,0,163.41,0,1,1,1,Current
65,1,0,1,16326.7,0,1.34,50.613333,1,0,0,1.34,0,1,0,1,Cancelled
68,1,0,2,9559.78,0,77.91,51.38,3,18.31,0,59.59,0,1,0,0,Cancelled
71,1,1,2,42031.8,0,59.78,50.753333,4,20.45,0,39.33,0,2,1,1,Current
73,1,1,2,83284.1,1,35.96,28.42,4,26.91,0,9.04,0,3,0,1,Current
74,0,1,1,39229.1,0,47.1,26.26,4,28.82,4.74,13.53,0,1,1,1,Current
75,1,0,0,68427.4,0,73.81,42.393333,3,23.76,0,50.05,0,3,0,0,Current
77,0,0,0,3601.71,0,125.6,49.266667,4,9.57,4.19,111.84,0,3,1,1,Cancelled
78,1,1,0,72642.6,0,39,27.646667,4,18.66,0,20.34,0,2,0,1,Current
79,1,0,0,98716.3,0,43.13,55.66,4,20.97,8.23,13.92,0,1,0,0,Cancelled
80,1,0,2,66182.7,1,58.87,62.48,2,11.7,0,47.17,0,3,1,0,Current
81,1,1,2,84789.3,0,33.47,50.433333,4,14.22,8.8,10.45,0,2,0,0,Current
83,1,1,2,35976.5,1,50.63,48.853333,4,18.85,0,31.78,0,3,0,1,Current
84,1,1,0,32703.1,1,72.89,64.92,4,16.8,0,56.09,0,1,1,1,Current
85,1,1,1,77129.1,1,44.85,61.846667,4,24.77,0,20.07,0,2,0,1,Current
86,1,1,2,8204.72,0,39.79,52.973333,3,15.59,0,24.19,0,2,0,0,Current
87,0,1,1,97180.4,0,63.51,50.6,4,8.21,9.63,45.66,0,1,0,0,Cancelled
88,1,1,0,80405.1,0,28.98,60.226667,4,2.91,8.95,17.11,0,1,0,0,Current
89,1,0,2,38280,0,86.61,33.74,4,11.64,0,74.97,0,3,0,1,Cancelled
90,0,0,0,64136.6,1,142.37,61.106667,2,16.21,1,125.15,0,1,0,1,Current
92,1,1,2,45429.7,1,97.74,61.713333,2,24.7,0,73.04,0,2,0,0,Cancelled
